# ra, dec
0.328746, -0.525393
0.328775, 7.479386
0.329000, 6.645675
0.330676, 1.090196
0.330788, 1.707183
0.331003, -1.887261
0.331032, -1.209545
0.331296, 0.177258
0.334472, 3.125545
0.335539, 2.128582
0.335603, -0.246474
0.336285, 4.589220
0.336528, 2.330715
0.337995, 1.245239
0.338032, 5.981218
0.341133, -0.057545
0.341718, -6.772087
0.342672, 7.914743
0.343383, -0.025187
0.345851, 3.036420
0.348390, -3.388329
0.348719, 6.541931
0.349330, -0.225643
0.349673, 1.334605
0.350179, -3.617577
0.351125, -2.799093
0.351319, -3.024329
0.351998, 4.435779
0.352268, -1.854398
0.353433, 3.110154
0.353911, 0.357409
0.354576, 2.313812
0.354743, 0.002645
0.354805, 5.948457
0.356515, 0.872688
0.357254, 6.203692
0.357688, -3.522261
0.358003, -1.872946
0.358116, -3.297070
0.358139, -2.727392
0.358732, 1.242478
0.359893, 4.715586
0.361103, 0.005229
0.361406, -1.710912
0.362488, -4.948541
0.362953, -1.100858
0.362972, 0.439053
0.363585, -3.961149
0.363716, -3.178441
0.365798, -0.465578
0.366915, 8.678196
0.368507, 8.675986
0.369138, 3.851198
0.371461, 0.067550
0.373324, 4.381944
0.373485, -2.094617
0.373645, 1.150486
0.374253, 0.775348
0.374626, -2.036123
0.374939, 0.319845
0.375337, 7.965930
0.375500, -0.242466
0.375802, 1.669229
0.376044, 5.555976
0.376303, 1.630340
0.377366, 3.969850
0.378483, -6.667270
0.379338, 2.724441
0.379863, -5.598707
0.380737, 0.499922
0.381920, -5.130498
0.382268, -0.739332
0.382302, -0.474077
0.382451, 6.410608
0.384037, 8.139255
0.385350, -1.280074
0.386860, -1.410340
0.388939, 5.489203
0.389141, 2.615885
0.389965, 2.618092
0.390293, 0.620054
0.390425, -0.108504
0.390682, 5.629001
0.392512, -0.837411
0.392965, -1.547628
0.393368, 4.324056
0.393717, 6.515446
0.394381, -1.585525
0.394785, 0.997814
0.395263, -3.067896
0.396571, 2.184694
0.397979, -0.701892
0.398294, 2.592494
0.399465, -3.504620
0.400045, 1.223232
0.402188, 0.053827
0.402826, 6.173211
0.403062, 4.055363
0.403954, 0.564178
0.403960, -2.451302
0.404761, -2.706835
0.405199, 5.344477
0.405585, -2.928040
0.406463, 2.511469
0.406747, 0.343519
0.406885, 0.488161
0.410031, 0.675090
0.410349, 0.952615
0.410432, 6.942879
0.411351, 5.988194
0.411970, -0.095472
0.412977, 4.559699
0.413327, -6.534573
0.413546, 2.746323
0.414843, 4.784165
0.415261, -4.088121
0.415967, -0.620399
0.416912, 6.099770
0.418125, 0.244061
0.418690, -3.028291
0.419883, 6.290616
0.420299, -3.794314
0.422035, 0.645139
0.422287, -0.294438
0.422636, 0.398984
0.423506, -2.314063
0.424194, -3.741425
0.424675, -1.227684
0.426493, 6.857444
0.427225, 7.668783
0.428990, -4.449547
0.429902, 4.113000
0.431063, 4.198803
0.431087, -0.471313
0.432184, -0.908084
0.433050, 0.975418
0.434528, -0.344277
0.435208, 1.064054
0.436138, 7.099454
0.438536, -1.423589
0.440198, -1.174157
0.442126, -5.046060
0.442417, -1.992644
0.442916, -0.649621
0.444224, -3.241669
0.444709, 2.407061
0.444757, 0.666294
0.445421, -2.552579
0.445533, -4.333906
0.445644, -1.004436
0.445646, 0.241362
0.447106, 5.146571
0.449409, 4.376523
0.449651, 2.061551
0.450020, 3.767199
0.450692, 6.314520
0.450731, -2.597084
0.450961, 3.496294
0.454268, 4.892355
0.455595, 0.958784
0.458104, -1.994317
0.458410, 6.678039
0.459365, -5.444081
0.459372, 1.552746
0.459518, -3.496567
0.459994, 2.641734
0.462875, 0.769740
0.462923, -0.008516
0.463121, -4.426321
0.463736, -0.748495
0.463932, 5.187499
0.464593, 1.039360
0.465474, 4.639127
0.466737, 5.629328
0.466983, -3.359906
0.467391, 6.013924
0.467464, 0.928631
0.469745, -2.037789
0.471510, -5.193560
0.471625, -1.900546
0.473289, 2.539899
0.473291, -2.004193
0.473311, -1.078656
0.475959, -0.199251
0.476472, 6.403916
0.476529, 2.709456
0.476564, -2.661271
0.477135, 4.100453
0.478477, 2.632001
0.478730, -0.369175
0.478771, -0.832367
0.480119, 6.394640
0.480746, 0.326722
0.480774, -4.328906
0.481057, -3.605055
0.482082, -1.483950
0.482120, -0.591018
0.482597, 0.600916
0.482711, -1.266116
0.484043, -4.615006
0.487789, 3.618076
0.487851, 8.666603
0.489109, -0.832966
0.489339, 3.029907
0.489954, -2.532951
0.490965, 0.145823
0.491638, -1.553998
0.491953, -1.442192
0.492840, 2.408839
0.493544, -1.382463
0.494175, -1.282460
0.495236, 7.532736
0.495944, 6.565415
0.496973, 3.731381
0.498433, -0.823363
0.499061, 6.990674
0.499467, 0.621027
0.500505, 0.333738
0.500822, 1.399385
0.501041, 1.104512
0.501371, -2.308774
0.501735, 5.839775
0.502327, 7.052385
0.503411, 5.390047
0.503886, -3.601581
0.504817, 0.285406
0.504918, -3.747816
0.505582, -0.927740
0.506553, -0.161488
0.507175, -1.113113
0.508305, 0.761299
0.508780, 7.589255
0.508826, 0.726235
0.509035, -0.704554
0.509734, -0.446795
0.510763, -4.918233
0.511297, -0.946522
0.512342, 6.401894
0.512604, -1.795805
0.513052, -1.394947
0.514065, -0.530784
0.515241, 2.231741
0.515960, -4.148253
0.516594, 4.567214
0.517263, -1.561948
0.518290, 0.783537
0.519030, 1.677639
0.519652, -0.298585
0.520628, -1.728607
